#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Mood
1,City,jon-YAKITORY,27,128,anime,Pop,60,76,0,0,81,0,20,-7 db,Happy
2,Love Trial,40mP,50,134,"anime rock, vocaloid","Rock, Pop",71,85,3,0,90,0,30,-3 db,Happy
3,にっこり^^調査隊のテーマ (feat. 鏡音リン&鏡音レン),Wonderful★opportunity!,45,180,"anime rock, j-division, vocaloid","Rock, Pop",54,82,16,0,85,20,0,-8 db,Happy
4,Blessing (feat. 初音ミク&鏡音リン&鏡音レン&巡音ルカ&KAITO&MEIKO),"halyosy,Hatsune Miku,Kagamine Rin,Kagamine Len,Megurine Luka,MEIKO,KAITO",46,110,"anime cv, vocaloid,",Pop,64,78,27,0,78,0,30,-4 db,Happy
5,Kuusou Forest,Jin,17,180,"anime rock, vocaloid","Rock, Pop",53,83,12,13,77,0,10,-5 db,Happy
6,テレキャスタービーボーイ - long ver.,すりぃ,51,182,vocaloid,Pop,49,91,15,0,96,10,30,-3 db,Happy
7,Party×Party,Hitoshizuku and Yama,37,106,"anime rock, j-division, vocaloid","Rock, Pop",55,89,2,0,76,0,30,-4 db,Happy
8,Yukei Yesterday,"Jin,LiSA",37,129,"anime rock, vocaloid, anime, j-pixie, j-pop","Pop, Rock",73,91,9,0,91,10,10,-3 db,Happy
9,drop pop candy (feat. ギガ),"Reol,Giga",56,130,"anime rock, japanese electropop, vocaloid","Rock, Pop",70,94,2,0,97,0,0,-2 db,Happy
10,GALAXY HidE and SeeK,AZALEA,32,141,anime cv,,56,88,0,0,45,0,10,-5 db,Happy
11,Alien Alien,Nayutalien,53,152,"anime rock, vocaloid","Rock, Pop",52,97,1,0,59,0,0,-1 db,Happy
12,大江戸ジュリアナイト feat. 初音ミク with KAITO,"Mitchie M,Hatsune Miku,KAITO",49,144,"vocaloid,",Pop,59,96,0,0,69,0,30,-3 db,Happy
13,ビバハピ,"Mitchie M,Hatsune Miku",47,148,"vocaloid,",Pop,61,99,2,0,77,0,60,-3 db,Happy
14,I~ya I~ya I~ya(feat. z'5),"Neru,z'5",40,128,"vocaloid, vocaloid metal,","Pop, Metal",69,73,7,0,47,0,0,-7 db,Happy
15,愛言葉Ⅳ,DECO*27,44,139,"anime rock, j-pixie, vocaloid","Rock, Pop",57,95,0,0,88,0,80,-5 db,Happy
16,ハッピーシンセサイザ,EasyPop,48,127,vocaloid,Pop,62,94,4,0,94,0,10,-2 db,Happy
17,YY (feat. 小豆沢こはね&白石杏&東雲彰人&青柳冬弥&初音ミク),Vivid BAD SQUAD,49,123,vocaloid,"Rock, Pop",80,86,35,0,86,0,0,-4 db,Happy
18,ochatime,23.exe,27,168,vocaloid,Pop,71,77,14,0,79,30,50,-5 db,Happy
19,Clipping Radio,23.exe,22,168,vocaloid,Pop,73,90,26,0,97,0,20,-4 db,Happy
20,Wah Wah World (feat. Hatsune Miku & Kagamine Rin),"Giga,Mitchie M,Hatsune Miku,Kagamine Rin",41,160,vocaloid,Pop,66,94,1,0,84,10,10,-3 db,Happy
21,ゾンビ,DECO*27,47,158,"anime rock, j-pixie, vocaloid","Rock, Pop",56,87,0,0,75,0,10,-6 db,Happy
22,NEO,Jin,39,95,"anime rock, vocaloid","Rock, Pop",63,93,3,0,82,0,0,-5 db,Happy
23,ロキ (feat. 星乃一歌&初音ミク),Leo/need,47,150,vocaloid,Pop,58,97,1,0,67,0,30,-3 db,Happy
24,STAGE OF SEKAI (feat. 星乃一歌&天馬咲希&望月穂波&日野森志歩&鏡音レン),Leo/need,43,95,vocaloid,Pop,46,92,21,0,60,0,10,-2 db,Happy
25,しんでしまうとはなさけない!,Wonderful★opportunity!,32,174,"anime rock, j-division, vocaloid","Rock, Pop",48,98,2,0,60,10,10,-3 db,Happy
